City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Hotel Name
398,Kikwit,-5.041,18.8162,75.99,65,7,2.24,light rain,HOTEL PLACE YALABA
403,Half Moon Bay,37.4636,-122.4286,88.97,74,75,1.01,broken clouds,"The Ritz-Carlton, Half Moon Bay"
404,Owen Sound,44.5672,-80.9435,78.89,79,19,1.01,few clouds,Comfort Inn
410,Qui Nhon,13.7667,109.2333,85.64,63,100,5.48,overcast clouds,Hoang Yen Canary Hotel
418,Bahia Honda,22.9036,-83.1592,80.94,81,2,9.66,clear sky,Casa Gualberto - Deysi
421,Kinablangan,7.6947,126.5503,83.77,69,79,2.66,broken clouds,Danny Moreno Property
427,Mawlaik,23.6333,94.4167,78.08,98,100,1.01,overcast clouds,AKZ Guest House
439,Tallahassee,30.4383,-84.2807,78.53,88,75,4.61,broken clouds,Four Points by Sheraton Tallahassee Downtown
449,Rangapara,26.8167,92.65,77.5,94,100,6.64,overcast clouds,Bidhan
450,Arlit,18.7369,7.3853,83.17,52,57,15.28,broken clouds,Case de Passage De la Prefecture
451,Meulaboh,4.1363,96.1285,76.69,89,100,6.15,overcast clouds,Kost Pria
457,Westport,41.1415,-73.3579,85.08,78,1,5.01,clear sky,The Westport Inn
459,Biloela,-24.4167,150.5,75.51,31,0,6.33,clear sky,Silo Motor Inn
472,Russell,32.3502,-85.1999,83.91,65,75,23.02,broken clouds,Macs
475,San Quintin,30.4833,-115.95,77.4,65,0,8.03,clear sky,Don Eddie's Sport Fishing Center
479,Port Moresby,-9.4431,147.1797,83.62,74,40,5.75,haze,Lamana Hotel (Port Moresby)
480,Belsand,26.45,85.4,80.28,91,100,6.35,moderate rain,Abhishek
484,Ixtapa,20.7,-105.2,81.23,86,36,1.01,scattered clouds,Hotel Plaza Providencia
485,Ninghai,29.2892,121.4247,78.48,94,100,3.13,light rain,Kaiyuan New Century Hotel
486,Teknaf,20.8624,92.3058,80.92,87,100,6.29,overcast clouds,Forestry Guesthouse
